gene_symbol	dataset_uuid	organ	cell_type
MMRN1	01d94c78c858b9944b4bbdd5b273c2bd	Heart	unknown
MMRN1	069a6930776ca28f8e10c3781aa13b56	Kidney	Cortical Thick Ascending Limb Cell
MMRN1	069a6930776ca28f8e10c3781aa13b56	Kidney	Parietal Epithelial Cell
MMRN1	069a6930776ca28f8e10c3781aa13b56	Kidney	Connecting Tubule Cell
MMRN1	069a6930776ca28f8e10c3781aa13b56	Kidney	Inner Medullary Collecting Duct Cell
MMRN1	0cecd7cf1da6f81d3654c1712a5d61a2	Kidney	Proximal Tubule Epithelial Cell Segment 3
MMRN1	0cecd7cf1da6f81d3654c1712a5d61a2	Kidney	Fibroblast
MMRN1	15882fef75843d5cef518853a0e8246d	Kidney	Lymphatic Endothelial Cell
MMRN1	15882fef75843d5cef518853a0e8246d	Kidney	Proximal Tubule Epithelial Cell Segment 1
MMRN1	5137facf6f24b87d325b886ec8e5fb1f	Kidney	Peritubular Capillary Endothelial Cell
MMRN1	5137facf6f24b87d325b886ec8e5fb1f	Kidney	Distal Convoluted Tubule Cell Type 1
MMRN1	67c6b239cf0986423273c874dd8c5e66	Kidney	Vascular Smooth Muscle Cell/Pericyte (general)
MMRN1	67c6b239cf0986423273c874dd8c5e66	Kidney	Descending Thin Limb Cell Type 1
MMRN1	67c6b239cf0986423273c874dd8c5e66	Kidney	Cortical Collecting Duct Principal Cell
MMRN1	b5ff6c347488c45deafeb6316dc7925b	Kidney	Macula Densa cell
MMRN1	d1e9f509063984326570cf603c5654f2	Kidney	Descending Thin Limb Cell Type 2
